aalib 1.4rc5-19
abseil-cpp 20260817.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
ada 4.0.0-1
adw-gtk-theme 6.5-1
adwaita-cursors 50.0-1
adwaita-fonts 51.0-2
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
amd-ucode 20260916-1
android-sdk-build-tools r37.0.0-2
android-studio 2026.1.4.8-1
android-tools 37.0.0-5
aom 3.15.0-1
appstream 1.2.0-1
appstream-glib 0.8.4-1
apr 1.7.6-1
apr-util 1.6.5-1
aquamarine 0.15.1-1
archlinux-keyring 20260909-1
at-spi2-core 2.60.7-1
attica 6.30.0-1
attr 2.6.0-1
aubio 0.4.9-25
audit 4.2.1-1
autoconf 2.73-1
autoconf-archive 1:2024.10.16-4
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
baloo 6.30.0-1
baloo-widgets 26.08.1-1
baobab 50.0-1
base 3-3
base-devel 1-2
bash 5.3.20-1
bat 0.26.1-3
binutils 2.47-4
bison 3.8.2-8
blackarch-mirrorlist 20260403-1
blas 3.12.1-2
blueprint-compiler 0.22.2-1
bluez 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
boost-libs 1.92.0-1
breeze-icons 6.30.0-1
brightnessctl 0.5.1-3
brltty 6.9.1-3
brotli 1.2.0-1
btop 1.4.7-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.129-1
ca-certificates-utils 20240618-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
caelestia-cli 1.1.3-1
caelestia-firefox-theme 1.0.0-1
caelestia-shell 2.5.0-1
caelestia-shell-debug 2.4.0-1
cairo 1.18.4-1
capstone 5.0.9-1
cblas 3.12.1-2
cdparanoia 10.2-10
cdrtools 3.02a09-6
cfitsio 1:4.7.0-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260428-1
chromaprint 1.6.1-2
